Unnamed: 0,Unnamed: 1,TABELA DE MEDICAMENTOS - PLANSERV ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,VERSÃO,2026-02-01 00:00:00,,,
,,,,,,
,,,,,,
CÓDIGO DO GRUPO,GRUPO DE CLASSIFICAÇÃO,CÓDIGO DO MEDICAMENTO,DESCRIÇÃO DO MEDICAMENTO,FRAÇÃO,UNIDADE,VALOR (R$)
2000,GERAL,132,ANADOR - Sol. oral 500 mg. 1 fr. 20 ml,1,UN,0.33
2000,GERAL,133,ANADOR - 500 mg. cprs. bl. x 24,1,UN,0.38
2000,GERAL,140,ANAFRANIL - 10 mg. 20 drags.,1,UN,0.52
2000,GERAL,141,ANAFRANIL - 25 mg. 20 drags.,1,UN,1.15
2000,GERAL,142,ANAFRANIL - SR 75 mg. div. 20 CE,1,UN,2.45
2000,GERAL,143,ANALGIN - CR cx. 20 drags.,1,UN,0.64
2000,GERAL,145,ANARTRIT - 20 mg. cx. 12 caps.,1,UN,0.69
2000,GERAL,149,ANCORON - Sol. inj. 50 x 3 ml.,1,UN,2.4
2000,GERAL,150,ANCORON - 200 mg. cx. 20 cprs.,1,UN,1.14
2000,GERAL,151,ANCORON - 100 mg. cx. 20 cprs.,1,UN,0.6
2000,GERAL,152,ANDRIODERMOL - Liq. fr. 50 cc,1,UN,10.2
2000,GERAL,153,ANDRIODERMOL - Po tb. 50 g.,1,UN,15.61
2000,GERAL,156,ANDROXON - Fr. 30 caps. 40 mg.,1,UN,1.84
2000,GERAL,158,ANESTALCON - Fr. 5 ml.,1,UN,1.28
2000,GERAL,159,ANESTESICO - 10 ml.,1,UN,0.68
2000,GERAL,162,"ANGIPRESS - CD 50/12,5 mg. cx. 28 cprs.",1,UN,0.52
2000,GERAL,163,ANGIPRESS - CD 100/25 mg. cx. 28 cprs.,1,UN,0.93
2000,GERAL,164,"ANGIPRESS - CD 25/12,5 mg. cx. 28 cprs.",1,UN,0.36
2000,GERAL,165,ANGIPRESS - Cx. 28 cprs. 25 mg.,1,UN,0.29
2000,GERAL,166,ANGIPRESS - Cx. 28 cprs. 50 mg.,1,UN,0.42
2000,GERAL,167,ANGIPRESS - Cx. 28 cprs. 100 mg.,1,UN,0.71
2000,GERAL,169,ANSITEC - 5 mg. 20 cprs.,1,UN,0.77
2000,GERAL,170,ANSITEC - 10 mg. 20 cprs.,1,UN,1.37
2000,GERAL,171,ANTAK - 150 mg. 10 cprs.,1,UN,2.18
2000,GERAL,172,ANTAK - 150 mg. 20 cprs.,1,UN,2.06
2000,GERAL,173,ANTAK - Xarope fr. 120 ml,1,UN,0.27
2000,GERAL,176,ANTAK - 300 mg. 10 cprs.,1,UN,4.48
2000,GERAL,177,ANTAK - 300 mg. 20 cprs.,1,UN,4.3
2000,GERAL,178,ANTAK - Sol. inj. cx. 5 amps.  x  2  ml.,1,UN,2.04
2000,GERAL,179,ANTIETANOL - Cx. 20 cprs.,1,UN,0.3
2000,GERAL,180,ANTIGERON - Cx. 30 cprs. x 25 mg.,1,UN,0.16
2000,GERAL,181,ANTIGERON - AP cx. 30 cprs. x 75 mg.,1,UN,0.34
2000,GERAL,182,APETIBE - Sol. fr. 240 ml,1,UN,0.1
2000,GERAL,183,APEVITIN BC - Sol. 1 x 240 ml,1,UN,0.1
2000,GERAL,184,APRESOLINA - 25 mg. 20 drags.,1,UN,0.24
2000,GERAL,185,APRESOLINA - 50 mg. 20 drags.,1,UN,0.32
2000,GERAL,187,ARCALION - Cx. 20 drags.,1,UN,1.5
2000,GERAL,188,ARCALION - Cx. 60 drags.,1,UN,1.45
2000,GERAL,193,ARELIX - 6 mg. cx. 20 caps.,1,UN,0.84
2000,GERAL,194,ARGIROL - 10% 5 ml,1,UN,7.83
2000,GERAL,195,AROPAX - 20 mg. 2 bl. x 10,1,UN,5.24
2000,GERAL,196,AROPAX - 20 mg. 3 bl. x 10,1,UN,4.98
2000,GERAL,197,AROVIT - Vd. 30 drags. 50000 UI,1,UN,0.18
2000,GERAL,198,AROVIT - Vd. 20 ml. 150000 UI/ml. (sol. oral),1,UN,0.3
2000,GERAL,199,ARTANE - 5 mg. ct. 2 bl. x 15 cprs.,1,UN,0.27
2000,GERAL,200,ARTANE - 2 mg. ct. 2 bl. x 15 cprs.,1,UN,0.23
2000,GERAL,201,ARTREN - Cx. 10 caps.,1,UN,1.45
2000,GERAL,202,ARTRIL - 300 mg. cx.  20 cprs.,1,UN,0.55
2000,GERAL,203,ARTRIL - 600 mg. cx.  20 cprs.,1,UN,1
2000,GERAL,204,ARTRINID - Inj.  100  mg.  6 amps.  2 ml.,1,UN,2.25
2000,GERAL,205,ARTRINID - Inj.  100 mg.  50 amps.  2 ml.,1,UN,2.01
2000,GERAL,206,ARTRINID - 50 mg. cx. 24 caps.,1,UN,0.96
2000,GERAL,207,ARTRINID - 100 mg. po liof. cx. 50 FA,1,UN,7.12
2000,GERAL,208,ASALIT - Cx. 10 supositorios,1,UN,2.55
